Starting time: 2018.02.27 23:43:34
Using scheduler com.simulations.matrix.SimpleSchedulers$MinMaxScheduler
First player,Second player,TimeFirst(in seconds)TimeSecond(in seconds)
50,1720,2.913698,4.255150
50,1725,2.913698,4.250425
50,1730,2.913698,4.245650
50,1735,2.913698,4.240825
50,1740,2.913698,4.235950
50,1745,2.913698,4.231025
50,1750,2.913698,4.226050
50,1755,2.913698,4.221025
50,1760,2.913698,4.215950
50,1765,2.913698,4.210825
50,1770,2.913698,4.205650
50,1775,2.913698,4.200425
50,1780,2.913698,4.195150
50,1785,2.913698,4.189825
50,1790,2.913698,4.184450
50,1795,2.913698,4.179025
50,1800,2.913698,4.173550
50,1805,2.913698,4.168025
50,1810,2.913698,4.162450
50,1815,2.913698,4.156825
50,1820,2.913698,4.151150
50,1825,2.913698,4.145425
50,1830,2.913698,4.139650
50,1835,2.913698,4.133825
50,1840,2.913698,4.127950
50,1845,2.913698,4.122025
50,1850,2.913698,4.116050
50,1855,2.913698,4.110025
50,1860,2.913698,4.103950
50,1865,2.913698,4.097825
50,1870,2.913698,4.091650
50,1875,2.913698,4.085425
50,1880,2.913698,4.079150
50,1885,2.913698,4.072825
50,1890,2.913698,4.066450
50,1895,2.913698,4.060025
50,1900,2.913698,4.053550
50,1905,2.913698,4.047025
50,1910,2.913698,4.040450
50,1915,2.913698,4.033825
50,1920,2.913698,4.027150
50,1925,2.913698,4.020425
50,1930,2.913698,4.013650
50,1935,2.913698,4.006825
50,1940,2.913698,3.999950
50,1945,2.913698,3.993025
50,1950,2.913698,3.986050
50,1955,2.913698,3.979025
50,1960,2.913698,3.971950
50,1965,2.913698,3.964825
50,1970,2.913698,3.957650
50,1975,2.913698,3.950425
50,1980,2.913698,3.943150
50,1985,2.913698,3.935825
50,1990,2.913698,3.928450
50,1995,2.913698,3.921025
50,2000,2.913698,3.914650
50,2005,2.913698,3.915479
50,2010,2.913698,3.916300
50,2015,2.913698,3.917112
50,2020,2.913698,3.917917
50,2025,2.913698,3.918712
50,2030,2.913698,3.919500
50,2035,2.913698,3.920279
50,2040,2.913698,3.921050
50,2045,2.913698,3.921812
50,2050,2.913698,3.922567
50,2055,2.913698,3.923312
50,2060,2.913698,3.924050
50,2065,2.913698,3.924779
50,2070,2.913698,3.925500
50,2075,2.913698,3.926212
50,2080,2.913698,3.926917
50,2085,2.913698,3.927612
50,2090,2.913698,3.928300
50,2095,2.913698,3.928979
50,2100,2.913698,3.929650
50,2105,2.913698,3.930312
50,2110,2.913698,3.930967
50,2115,2.913698,3.931612
50,2120,2.913698,3.932250
50,2125,2.913698,3.932879
50,2130,2.913698,3.933500
50,2135,2.913698,3.934112
50,2140,2.913698,3.934717
50,2145,2.913698,3.935312
50,2150,2.913698,3.935900
50,2155,2.913698,3.936479
50,2160,2.913698,3.937050
50,2165,2.913698,3.937612
50,2170,2.913698,3.938167
50,2175,2.913698,3.938712
50,2180,2.913698,3.939250
50,2185,2.913698,3.939779
50,2190,2.913698,3.940300
50,2195,2.913698,3.940812
50,2200,2.913698,3.941317
50,2205,2.913698,3.941812
50,2210,2.913698,3.942300
50,2215,2.913698,3.942779
50,2220,2.913698,3.943250
50,2225,2.913698,3.943712
50,2230,2.913698,3.944167
50,2235,2.913698,3.944612
50,2240,2.913698,3.945050
50,2245,2.913698,3.945479
50,2250,2.913698,3.945900
50,2255,2.913698,3.946312
50,2260,2.913698,3.946717
50,2265,2.913698,3.947112
50,2270,2.913698,3.947500
50,2275,2.913698,3.947879
50,2280,2.913698,3.948250
50,2285,2.913698,3.948612
50,2290,2.913698,3.948967
50,2295,2.913698,3.949312
50,2300,2.913698,3.949650
50,2305,2.913698,3.949979
50,2310,2.913698,6.021600
50,2315,2.913698,6.022537
50,2320,2.913698,6.023450
50,2325,2.913698,6.024337
50,2330,2.913698,6.025200
50,2335,2.913698,6.026037
50,2340,2.913698,6.026850
50,2345,2.913698,6.027637
50,2350,2.913698,6.028400
50,2355,2.913698,6.029137
50,2360,2.913698,6.029850
50,2365,2.913698,6.030537
50,2370,2.913698,6.031200
50,2375,2.913698,6.031837
50,2380,2.913698,6.032450
50,2385,2.913698,6.033037
50,2390,2.913698,6.033600
50,2395,2.913698,6.034137
50,2400,2.913698,6.034650
50,2405,2.913698,6.035137
50,2410,2.913698,6.035600
50,2415,2.913698,6.036037
50,2420,2.913698,6.036450
50,2425,2.913698,6.036837
50,2430,2.913698,6.037200
50,2435,2.913698,6.037537
50,2440,2.913698,6.037850
50,2445,2.913660,6.038137
50,2450,2.913450,6.038400
50,2455,2.913698,6.038637
50,2460,2.913698,6.038850
50,2465,2.913698,6.039037
50,2470,2.913698,6.039200
50,2475,2.913698,6.039337
50,2480,2.913550,6.040550
50,2485,2.909400,6.036487
50,2490,2.875698,6.001748
50,2495,2.875700,6.001637
50,2500,2.913698,6.038550
50,2505,2.913698,6.038537
50,2510,2.913698,6.038500
50,2515,2.913698,6.038437
50,2520,2.913698,6.038350
50,2525,2.913698,6.038237
50,2530,2.913698,6.038100
50,2535,2.913698,6.037937
50,2540,2.913698,6.037750
50,2545,2.913698,6.037537
50,2550,2.913698,6.037300
50,2555,2.913698,6.037037
50,2560,2.913698,6.036750
50,2565,2.913698,6.036437
50,2570,2.913698,6.036100
50,2575,2.913698,6.035737
50,2580,2.913698,6.035350
50,2585,2.913698,6.034937
50,2590,2.913698,6.034500
50,2595,2.913698,6.034037
50,2600,2.913698,6.033550
50,2605,2.913698,6.033037
50,2610,2.913698,6.032500
50,2615,2.913698,6.031937
50,2620,2.913698,6.031350
50,2625,2.913698,6.030737
50,2630,2.913698,6.030100
50,2635,2.913698,6.029437
50,2640,2.913698,6.028750
50,2645,2.913698,6.028037
50,2650,2.913698,6.027300
50,2655,2.913698,6.026537
50,2660,2.913698,6.025750
50,2665,2.913698,6.024937
50,2670,2.913698,6.024100
50,2675,2.913698,6.023237
50,2680,2.913698,6.022350
50,2685,2.913698,6.021437
50,2690,2.913698,6.020500
50,2695,2.913698,6.019537
50,2700,2.913698,6.018550
50,2705,2.913698,6.017537
50,2710,2.913698,6.016500
50,2715,2.913698,6.015437
50,2720,2.913698,6.014350
50,2725,2.913698,6.013237
50,2730,2.913698,6.012100
50,2735,2.913698,6.010937
50,2740,2.913698,6.009750
50,2745,2.913698,6.008537
50,2750,2.913698,6.007300
50,2755,2.913698,6.006037
50,2760,2.913698,6.004750
50,2765,2.913698,6.003437
50,2770,2.913698,6.002100
50,2775,2.913698,6.000737
50,2780,2.913698,5.999350
50,2785,2.913698,5.997937
50,2790,2.913698,5.996500
50,2795,2.913698,5.995037
50,2800,2.913698,5.993550
50,2805,2.913698,5.992037
50,2810,2.913698,5.990500
50,2815,2.913698,5.988937
50,2820,2.913698,5.987350
50,2825,2.913698,5.985737
50,2830,2.913698,5.984100
50,2835,2.913698,5.982437
50,2840,2.913698,5.980750
50,2845,2.913698,5.979037
50,2850,2.913698,5.977300
50,2855,2.913698,5.975537
50,2860,2.913698,5.973750
50,2865,2.913698,5.971937
50,2870,2.913698,5.970100
50,2875,2.913698,5.968237
50,2880,2.913698,5.966350
50,2885,2.913698,5.964437
50,2890,2.913698,5.962500
50,2895,2.913698,5.960537
50,2900,2.913698,5.958550
50,2905,2.913698,5.956537
50,2910,2.913698,5.954500
50,2915,2.913698,5.952437
50,2920,2.913698,5.950350
50,2925,2.913698,5.948237
50,2930,2.913698,5.946100
50,2935,2.913698,5.943937
50,2940,2.913698,5.941750
50,2945,2.913698,5.939537
50,2950,2.913698,5.937300
50,2955,2.913698,5.935037
50,2960,2.913698,5.932750
50,2965,2.913698,5.930437
50,2970,2.913698,5.928100
50,2975,2.913698,5.925737
50,2980,2.913698,5.923350
50,2985,2.913698,5.920937
50,2990,2.913698,5.918500
50,2995,2.913698,5.916037
50,3000,2.913698,5.913550
50,3005,2.913698,5.911037
50,3010,2.913698,5.908500
50,3015,2.913698,5.905937
50,3020,2.913698,5.903350
50,3025,2.913698,5.900737
50,3030,2.913698,5.898100
50,3035,2.913698,5.895437
50,3040,2.913698,5.892750
50,3045,2.913698,5.890037
50,3050,2.913698,5.887300
50,3055,2.913698,5.884537
50,3060,2.913698,5.881750
50,3065,2.913698,5.878937
50,3070,2.913698,5.876100
50,3075,2.913698,5.873237
50,3080,2.913698,5.870350
50,3085,2.913698,5.867437
50,3090,2.913698,5.864500
50,3095,2.913698,5.861537
50,3100,2.913698,5.858550
50,3105,2.913698,5.855537
50,3110,2.913698,5.852500
50,3115,2.913698,5.849437
50,3120,2.913698,5.846350
50,3125,2.913698,5.843237
50,3130,2.913698,5.840100
50,3135,2.913698,5.836937
50,3140,2.913698,5.833750
50,3145,2.913698,5.830537
50,3150,2.913698,5.827300
50,3155,2.913698,5.824037
50,3160,2.913698,5.820750
50,3165,2.913698,5.817437
