Starting time: 2018.02.27 23:43:34
Using scheduler com.simulations.matrix.SimpleSchedulers$MinMinScheduler
First player,Second player,TimeFirst(in seconds)TimeSecond(in seconds)
50,2480,2.912450,6.039450
50,2485,2.909400,6.036487
50,2490,2.914800,6.041950
50,2495,2.913550,6.040737
50,2500,2.914798,6.040898
50,2505,2.914798,6.053410
50,2510,2.914798,6.065948
50,2515,2.914798,6.078510
50,2520,2.914798,6.091098
50,2525,2.914798,6.103710
50,2530,2.914798,6.116348
50,2535,2.914798,6.129010
50,2540,2.914798,6.141698
50,2545,2.914798,6.154410
50,2550,2.914798,6.167148
50,2555,2.914798,6.179910
50,2560,2.914798,6.192698
50,2565,2.914798,6.205510
50,2570,2.914798,6.218348
50,2575,2.914798,6.231210
50,2580,2.914798,6.244098
50,2585,2.914798,6.257010
50,2590,2.914798,6.269948
50,2595,2.914798,6.282910
50,2600,2.914798,6.295898
50,2605,2.914798,6.308910
50,2610,2.914798,6.321948
50,2615,2.914798,6.335010
50,2620,2.914798,6.348098
50,2625,2.914798,6.361210
50,2630,2.914798,6.374348
50,2635,2.914798,6.387510
50,2640,2.914798,6.400698
50,2645,2.914798,6.413910
50,2650,2.914798,6.427148
50,2655,2.914798,6.440410
50,2660,2.914798,6.453698
50,2665,2.914798,6.467010
50,2670,2.914798,6.480348
50,2675,2.914798,6.493710
50,2680,2.914798,6.507098
50,2685,2.914798,6.520510
50,2690,2.914798,6.533948
50,2695,2.914798,6.547410
50,2700,2.914798,6.560898
50,2705,2.914798,6.574410
50,2710,2.914798,6.587948
50,2715,2.914798,6.601510
50,2720,2.914798,6.615098
50,2725,2.914798,6.628710
50,2730,2.914798,6.642348
50,2735,2.914798,6.656010
50,2740,2.914798,6.669698
50,2745,2.914798,6.683410
50,2750,2.914798,6.697148
50,2755,2.914798,6.710910
50,2760,2.914798,6.724698
50,2765,2.914798,6.738510
50,2770,2.914798,6.752348
50,2775,2.914798,6.766210
50,2780,2.914798,6.780098
50,2785,2.914798,6.794010
50,2790,2.914798,6.807948
50,2795,2.914798,6.821910
50,2800,2.914798,6.835898
50,2805,2.914798,6.849910
50,2810,2.914798,6.863948
50,2815,2.914798,6.878010
50,2820,2.914798,6.892098
50,2825,2.914798,6.906210
50,2830,2.914798,6.920348
50,2835,2.914798,6.934510
50,2840,2.914798,6.948698
50,2845,2.914798,6.962910
50,2850,2.914798,6.977148
50,2855,2.914798,6.991410
50,2860,2.914798,7.005698
50,2865,2.914798,7.020010
50,2870,2.914798,7.034348
50,2875,2.914798,7.048710
50,2880,2.914798,7.063098
